Time,Number,GMDn,GSDn,mode_n,ultra_n,accum_n,coarse_n,Surface,GMDs,GSDs,mode_s,ultra_s,accum_s,coarse_s,Volume,GMDv,GSDv,mode_v,ultra_v,accum_v,coarse_v
2020-10-02 04:00:00,19904.864731848713,51.192834544119776,2.2954023940770587,[ 15.7542007   64.71756464 593.3336464 ],0.79,0.21,0.0,675430811.5435977,206.16416849184583,2.250534240814755,[ 265.8569135  593.3336464 2285.770837 ],0.19,0.78,0.03,32544258450.105957,411.90429519831605,2.375521586588371,[ 366.5290201 1024.192684  2437.388563 ],0.04,0.79,0.17
2020-10-02 05:00:00,22025.34743688899,50.316357613306785,2.18511900730859,[ 18.49807677  38.71555723 593.3336464 ],0.81,0.19,0.0,690021821.9259909,202.2103944637454,2.2955671103080557,[ 265.8569135  593.3336464 2213.536292 ],0.2,0.77,0.03,32912301797.817154,408.35663489993766,2.359160376674468,[ 366.5290201 2437.388563 ],0.05,0.79,0.16
2020-10-04 19:00:00,21011.693344637424,43.01199736358778,2.1836700110160376,[19.72507481 37.4920747  75.98928704],0.86,0.14,0.0,482901089.3231554,177.45642475517172,2.3839373416755643,[ 21.71984798 101.4534304  265.8569135 ],0.28,0.7,0.02,20942738598.194332,383.9152809568231,2.4330673639934215,[ 21.71984798 104.7641701  378.4899973 ],0.07,0.78,0.15
2020-10-04 20:00:00,17246.249347685036,44.398802130515136,2.164941349307819,[16.79919438 34.04876402 69.0103528 ],0.85,0.15,0.0,391585484.66370153,165.0076192163344,2.2703926778100665,[ 28.99820714  95.14252104 265.8569135 ],0.28,0.7,0.02,15429933077.59556,350.63737413169815,2.5456346604861366,[ 16.79919438 274.5326481  593.3336464 ],0.08,0.75,0.17
2020-10-06 02:00:00,26430.42524223709,30.078748898697004,1.6982741959205145,[ 23.91635017 169.5912293 ],0.96,0.04,0.0,235610590.55274224,146.0852109658501,3.412231403871268,[ 37.4920747 180.8404044 343.7290868],0.38,0.53,0.09,12434043126.234287,652.4971206717438,3.017704094739874,[ 50.05573471 192.8357499  444.4108057 ],0.05,0.48,0.47
2020-10-06 03:00:00,19827.784459286246,31.196806161226966,1.738884351911497,[ 27.19437402 169.5912293 ],0.95,0.05,0.0,213969278.2247597,170.64781072713086,3.4019844780549113,[ 39.97896578 180.8404044  593.3336464 ],0.31,0.58,0.11,12833435518.434383,712.30530423019,2.9018556263618454,[ 46.94201835 192.8357499  366.5290201 ],0.04,0.46,0.51
2020-10-06 04:00:00,20770.265058003297,30.849333811100845,1.7459026985309525,[ 27.19437402 175.1255164 ],0.95,0.05,0.0,221336900.1579764,168.72997340109248,3.3689296311890837,[ 37.4920747  86.4045341 186.741787 ],0.31,0.58,0.1,13026621956.19159,699.2456296806339,2.9255506302585585,[ 45.45856458 199.1285777  430.3666102 ],0.04,0.46,0.5
2020-10-06 05:00:00,16422.885816017857,32.92173862624066,1.8080774256823928,[ 27.19437402 169.5912293  458.9133069 ],0.94,0.06,0.0,207291038.63888258,179.33550811242517,3.2947537841266286,[ 41.28360327  81.0297411  186.741787  ],0.3,0.59,0.11,12765889419.581835,726.148382560423,2.9105974485584643,[ 51.68920838 186.741787   366.5290201 ],0.04,0.44,0.52
2020-10-06 11:00:00,20943.709962600136,30.77216494598134,1.9174763056701558,[ 20.3687651   64.71756464 186.741787  ],0.92,0.08,0.0,264562088.44179964,172.35692536723678,3.0101649398280435,[ 42.63081512  86.4045341  186.741787  ],0.27,0.64,0.08,14383129987.372078,617.9813298076774,2.977281624533414,[ 42.63081512 212.3369981  430.3666102 ],0.04,0.51,0.44
2020-10-06 12:00:00,21475.764548785723,28.686243748026293,1.8789343517376869,[ 18.49807677  56.91647606 149.1486151 ],0.94,0.06,0.0,240889136.66542676,171.9122641441222,3.1109685225841055,[ 39.97896578 101.4534304  199.1285777 ],0.28,0.63,0.09,13342390174.997654,632.7602160679832,2.955053632098158,[ 41.28360327 104.7641701  226.4215477 ],0.04,0.51,0.45
